ssh://douwenjie@49.233.47.164:6000/home/c404/data2/douwenjie/.conda/envs/torch/bin/python -u /home/c404/data2/douwenjie/EV_GCN/train_eval_evgcn.py --train=1
 Using GPU in torch
==========       CONFIG      =============
train:1
use_cpu:False
hgc:256
lg:6
lr:0.002
wd:0.0005
num_iter:600
edropout:0.3
dropout:0.4
num_classes:2
ckpt_path:./save_models/ev_gcn
time:230104
device:cuda:1
==========     CONFIG END    =============


===> Phase is train.
  Loading dataset ...

========================== Fold 0 ==========================
  Constructing graph data...
  Number of training samples 783
  Start training...

Epoch: 0,	ce loss: 0.75443,	train acc: 0.50830
Epoch: 1,	ce loss: 0.77780,	train acc: 0.57471
Epoch: 2,	ce loss: 0.68978,	train acc: 0.58748
Epoch: 3,	ce loss: 0.67006,	train acc: 0.60792
Epoch: 4,	ce loss: 0.71471,	train acc: 0.57088
Epoch: 5,	ce loss: 0.67245,	train acc: 0.64496
Epoch: 6,	ce loss: 0.67373,	train acc: 0.68072
Epoch: 7,	ce loss: 0.66671,	train acc: 0.68582
Epoch: 8,	ce loss: 0.63742,	train acc: 0.67688
Epoch: 9,	ce loss: 0.64213,	train acc: 0.70626
Epoch: 10,	ce loss: 0.66566,	train acc: 0.65900
Epoch: 11,	ce loss: 0.66577,	train acc: 0.67944
Epoch: 12,	ce loss: 0.62956,	train acc: 0.68199
Epoch: 13,	ce loss: 0.60678,	train acc: 0.68199
Epoch: 14,	ce loss: 0.60135,	train acc: 0.68455
Epoch: 15,	ce loss: 0.63955,	train acc: 0.66667
Epoch: 16,	ce loss: 0.63871,	train acc: 0.67944
Epoch: 17,	ce loss: 0.63608,	train acc: 0.62963
Epoch: 18,	ce loss: 0.62303,	train acc: 0.65262
Epoch: 19,	ce loss: 0.61789,	train acc: 0.67050
Epoch: 20,	ce loss: 0.60716,	train acc: 0.68966
Epoch: 21,	ce loss: 0.62132,	train acc: 0.69093
Epoch: 22,	ce loss: 0.61709,	train acc: 0.70498
Epoch: 23,	ce loss: 0.63923,	train acc: 0.67561
Epoch: 24,	ce loss: 0.62769,	train acc: 0.69349
Epoch: 25,	ce loss: 0.60509,	train acc: 0.68072
Epoch: 26,	ce loss: 0.60883,	train acc: 0.68838
Epoch: 27,	ce loss: 0.59933,	train acc: 0.69860
Epoch: 28,	ce loss: 0.60354,	train acc: 0.67944
Epoch: 29,	ce loss: 0.57542,	train acc: 0.71775
Epoch: 30,	ce loss: 0.61987,	train acc: 0.71520
Epoch: 31,	ce loss: 0.62834,	train acc: 0.71392
Epoch: 32,	ce loss: 0.59408,	train acc: 0.68072
Epoch: 33,	ce loss: 0.59046,	train acc: 0.69476
Epoch: 34,	ce loss: 0.58776,	train acc: 0.69732
Epoch: 35,	ce loss: 0.57944,	train acc: 0.68838
Epoch: 36,	ce loss: 0.58436,	train acc: 0.68455
Epoch: 37,	ce loss: 0.58882,	train acc: 0.69860
Epoch: 38,	ce loss: 0.57759,	train acc: 0.70498
Epoch: 39,	ce loss: 0.57511,	train acc: 0.70115
Epoch: 40,	ce loss: 0.55555,	train acc: 0.72031
Epoch: 41,	ce loss: 0.59909,	train acc: 0.68455
Epoch: 42,	ce loss: 0.57861,	train acc: 0.69221
Epoch: 43,	ce loss: 0.59533,	train acc: 0.70115
Epoch: 44,	ce loss: 0.57503,	train acc: 0.70626
Epoch: 45,	ce loss: 0.59177,	train acc: 0.67561
Epoch: 46,	ce loss: 0.60223,	train acc: 0.67050
Epoch: 47,	ce loss: 0.57210,	train acc: 0.66156
Epoch: 48,	ce loss: 0.55190,	train acc: 0.69860
Epoch: 49,	ce loss: 0.54275,	train acc: 0.72414
Epoch: 50,	ce loss: 0.56794,	train acc: 0.70498
Epoch: 51,	ce loss: 0.57213,	train acc: 0.69860
Epoch: 52,	ce loss: 0.56407,	train acc: 0.70498
Epoch: 53,	ce loss: 0.57798,	train acc: 0.70754
