ssh://douwenjie@49.233.47.164:6000/home/c404/data2/douwenjie/.conda/envs/torch/bin/python -u /home/c404/data2/douwenjie/EV_GCN/train_eval_evgcn.py --train=1
 Using GPU in torch
==========       CONFIG      =============
train:1
use_cpu:False
hgc:256
lg:6
lr:0.002
wd:0.0005
num_iter:600
edropout:0.3
dropout:0.4
num_classes:2
ckpt_path:./save_models/ev_gcn
time:230104
device:cuda:1
==========     CONFIG END    =============


===> Phase is train.
  Loading dataset ...

========================== Fold 0 ==========================
  Constructing graph data...
  Number of training samples 783
  Start training...

Epoch: 0,	ce loss: 0.75443,	train acc: 0.50830
Epoch: 1,	ce loss: 0.77780,	train acc: 0.57471
Epoch: 2,	ce loss: 0.68975,	train acc: 0.58748
Epoch: 3,	ce loss: 0.66984,	train acc: 0.60792
Epoch: 4,	ce loss: 0.71181,	train acc: 0.57216
Epoch: 5,	ce loss: 0.67404,	train acc: 0.63218
Epoch: 6,	ce loss: 0.67678,	train acc: 0.66922
Epoch: 7,	ce loss: 0.67347,	train acc: 0.67688
Epoch: 8,	ce loss: 0.64647,	train acc: 0.67305
Epoch: 9,	ce loss: 0.63230,	train acc: 0.69221
Epoch: 10,	ce loss: 0.66213,	train acc: 0.67305
Epoch: 11,	ce loss: 0.68750,	train acc: 0.68199
Epoch: 12,	ce loss: 0.61170,	train acc: 0.69476
Epoch: 13,	ce loss: 0.61877,	train acc: 0.68327
Epoch: 14,	ce loss: 0.61096,	train acc: 0.70626
Epoch: 15,	ce loss: 0.64482,	train acc: 0.64751
Epoch: 16,	ce loss: 0.62428,	train acc: 0.68199
Epoch: 17,	ce loss: 0.62165,	train acc: 0.66922
Epoch: 18,	ce loss: 0.59557,	train acc: 0.69860
Epoch: 19,	ce loss: 0.62675,	train acc: 0.66922
Epoch: 20,	ce loss: 0.60482,	train acc: 0.67944
Epoch: 21,	ce loss: 0.59489,	train acc: 0.72031
Epoch: 22,	ce loss: 0.60477,	train acc: 0.70370
Epoch: 23,	ce loss: 0.65092,	train acc: 0.68966
Epoch: 24,	ce loss: 0.65943,	train acc: 0.69604
Epoch: 25,	ce loss: 0.60947,	train acc: 0.69093
Epoch: 26,	ce loss: 0.60391,	train acc: 0.69093
Epoch: 27,	ce loss: 0.58327,	train acc: 0.68327
Epoch: 28,	ce loss: 0.58886,	train acc: 0.67050
Epoch: 29,	ce loss: 0.58497,	train acc: 0.70626
Epoch: 30,	ce loss: 0.61081,	train acc: 0.70754
Epoch: 31,	ce loss: 0.64612,	train acc: 0.70498
Epoch: 32,	ce loss: 0.59603,	train acc: 0.67944
Epoch: 33,	ce loss: 0.58963,	train acc: 0.68710
Epoch: 34,	ce loss: 0.57894,	train acc: 0.70370
Epoch: 35,	ce loss: 0.57049,	train acc: 0.69349
Epoch: 36,	ce loss: 0.58747,	train acc: 0.68199
Epoch: 37,	ce loss: 0.59071,	train acc: 0.69860
Epoch: 38,	ce loss: 0.58213,	train acc: 0.72286
Epoch: 39,	ce loss: 0.56386,	train acc: 0.70498
Epoch: 40,	ce loss: 0.57352,	train acc: 0.70498
Epoch: 41,	ce loss: 0.62642,	train acc: 0.67050
Epoch: 42,	ce loss: 0.58426,	train acc: 0.67561
Epoch: 43,	ce loss: 0.58589,	train acc: 0.69221
Epoch: 44,	ce loss: 0.57185,	train acc: 0.70626
Epoch: 45,	ce loss: 0.58375,	train acc: 0.68455
Epoch: 46,	ce loss: 0.61018,	train acc: 0.65900
Epoch: 47,	ce loss: 0.60541,	train acc: 0.64240
Epoch: 48,	ce loss: 0.55348,	train acc: 0.72286
